title,url,corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm,year,filing_types,filename
사 업 보 고 서,http://dart.fss.or.kr/report/viewer.do?rcpNo=20220322000590&dcmNo=8490476&eleId=1&offset=781&length=4072&dtd=dart3.xsd,00164779,SK하이닉스,000660,Y,사업보고서 (2021.12),20220322000590,SK하이닉스,20220322,연,2022,A001,000660_A001_2022_20220322000590_20220322.html
【 대표이사 등의 확인 】,http://dart.fss.or.kr/report/viewer.do?rcpNo=20220322000590&dcmNo=8490476&eleId=2&offset=15745&length=407&dtd=dart3.xsd,00164779,SK하이닉스,000660,Y,사업보고서 (2021.12),20220322000590,SK하이닉스,20220322,연,2022,A001,000660_A001_2022_20220322000590_20220322.html
I. 회사의 개요,http://dart.fss.or.kr/report/viewer.do?rcpNo=20220322000590&dcmNo=8490476&eleId=3&offset=16156&length=105018&dtd=dart3.xsd,00164779,SK하이닉스,000660,Y,사업보고서 (2021.12),20220322000590,SK하이닉스,20220322,연,2022,A001,000660_A001_2022_20220322000590_20220322.html
1. 회사의 개요,http://dart.fss.or.kr/report/viewer.do?rcpNo=20220322000590&dcmNo=8490476&eleId=4&offset=16246&length=47853&dtd=dart3.xsd,00164779,SK하이닉스,000660,Y,사업보고서 (2021.12),20220322000590,SK하이닉스,20220322,연,2022,A001,000660_A001_2022_20220322000590_20220322.html
2. 회사의 연혁,http://dart.fss.or.kr/report/viewer.do?rcpNo=20220322000590&dcmNo=8490476&eleId=5&offset=64103&length=22206&dtd=dart3.xsd,00164779,SK하이닉스,000660,Y,사업보고서 (2021.12),20220322000590,SK하이닉스,20220322,연,2022,A001,000660_A001_2022_20220322000590_20220322.html
3. 자본금 변동사항,http://dart.fss.or.kr/report/viewer.do?rcpNo=20220322000590&dcmNo=8490476&eleId=6&offset=86313&length=3413&dtd=dart3.xsd,00164779,SK하이닉스,000660,Y,사업보고서 (2021.12),20220322000590,SK하이닉스,20220322,연,2022,A001,000660_A001_2022_20220322000590_20220322.html
4. 주식의 총수 등,http://dart.fss.or.kr/report/viewer.do?rcpNo=20220322000590&dcmNo=8490476&eleId=7&offset=89730&length=27867&dtd=dart3.xsd,00164779,SK하이닉스,000660,Y,사업보고서 (2021.12),20220322000590,SK하이닉스,20220322,연,2022,A001,000660_A001_2022_20220322000590_20220322.html
5. 정관에 관한 사항,http://dart.fss.or.kr/report/viewer.do?rcpNo=20220322000590&dcmNo=8490476&eleId=8&offset=117601&length=3559&dtd=dart3.xsd,00164779,SK하이닉스,000660,Y,사업보고서 (2021.12),20220322000590,SK하이닉스,20220322,연,2022,A001,000660_A001_2022_20220322000590_20220322.html
II. 사업의 내용,http://dart.fss.or.kr/report/viewer.do?rcpNo=20220322000590&dcmNo=8490476&eleId=9&offset=121178&length=112045&dtd=dart3.xsd,00164779,SK하이닉스,000660,Y,사업보고서 (2021.12),20220322000590,SK하이닉스,20220322,연,2022,A001,000660_A001_2022_20220322000590_20220322.html
1. 사업의 개요,http://dart.fss.or.kr/report/viewer.do?rcpNo=20220322000590&dcmNo=8490476&eleId=10&offset=121516&length=2232&dtd=dart3.xsd,00164779,SK하이닉스,000660,Y,사업보고서 (2021.12),20220322000590,SK하이닉스,20220322,연,2022,A001,000660_A001_2022_20220322000590_20220322.html
