,corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm,year
0,00125521,에스엘,005850,Y,[기재정정]사업보고서 (2021.12),20220930000533,에스엘,20220930,연,2022
1,00143794,원림,005820,Y,[기재정정]사업보고서 (2021.12),20220930000156,원림,20220930,연,2022
2,00112679,대창단조,015230,Y,[기재정정]사업보고서 (2021.12),20220930000113,대창단조,20220930,연,2022
3,00135962,신라교역,004970,Y,[기재정정]사업보고서 (2021.12),20220930000044,신라교역,20220930,연,2022
4,00349097,케이티스카이라이프,053210,Y,[기재정정]사업보고서 (2021.12),20220930000032,케이티스카이라이프,20220930,연,2022
5,00109718,사조대림,003960,Y,[기재정정]사업보고서 (2021.12),20220929000312,사조대림,20220929,연,2022
23,00148939,조광피혁,004700,Y,[기재정정]사업보고서 (2021.12),20220818000327,조광피혁,20220818,,2022
30,00428321,해태제과식품,101530,Y,[기재정정]사업보고서 (2021.12),20220817000003,해태제과식품,20220817,연,2022
31,00145437,아센디오,012170,Y,[기재정정]사업보고서 (2021.12),20220816002550,아센디오,20220816,연,2022
33,00136776,제이준코스메틱,025620,Y,[기재정정]사업보고서 (2021.12),20220816002378,제이준코스메틱,20220816,연,2022
34,00161693,한샘,009240,Y,[기재정정]사업보고서 (2021.12),20220816002277,한샘,20220816,연,2022
35,00113191,코리안리,003690,Y,[기재정정]사업보고서 (2021.12),20220816002265,코리안리,20220816,연,2022
36,00164973,현대해상,001450,Y,[기재정정]사업보고서 (2021.12),20220816002204,현대해상,20220816,연,2022
37,00188089,한섬,020000,Y,[기재정정]사업보고서 (2021.12),20220816002184,한섬,20220816,연,2022
38,00109693,DL,000210,Y,[기재정정]사업보고서 (2021.12),20220816002153,DL,20220816,연,2022
39,00152862,코오롱,002020,Y,[기재정정]사업보고서 (2021.12),20220816002002,코오롱,20220816,연,2022
40,00138224,쌍용씨앤이,003410,Y,[기재정정]사업보고서 (2021.12),20220816001988,쌍용씨앤이,20220816,연,2022
42,00139889,SKC,011790,Y,[기재정정]사업보고서 (2021.12),20220816001935,SKC,20220816,연,2022
43,00181712,SK,034730,Y,[기재정정]사업보고서 (2021.12),20220816001773,SK,20220816,연,2022
44,00104768,가온전선,000500,Y,[기재정정]사업보고서 (2021.12),20220816001768,가온전선,20220816,연,2022
45,00162586,한올바이오파마,009420,Y,[기재정정]사업보고서 (2021.12),20220816001546,한올바이오파마,20220816,연,2022
46,00791209,더메디팜,118000,Y,[기재정정]사업보고서 (2021.12),20220816001524,더메디팜,20220816,연,2022
47,00170558,코웨이,021240,Y,[기재정정]사업보고서 (2021.12),20220816001433,코웨이,20220816,연,2022
48,00121941,대상,001680,Y,[기재정정]사업보고서 (2021.12),20220816001426,대상,20220816,연,2022
49,00219486,신세계I&C,035510,Y,[기재정정]사업보고서 (2021.12),20220816001345,신세계I&C,20220816,,2022
50,00126487,F&F 홀딩스,007700,Y,[기재정정]사업보고서 (2021.12),20220816001167,F&F 홀딩스,20220816,연,2022
51,01009789,코스맥스,192820,Y,[기재정정]사업보고서 (2021.12),20220816001048,코스맥스,20220816,연,2022
52,00112022,대원화성,024890,Y,[기재정정]사업보고서 (2021.12),20220816001036,대원화성,20220816,연,2022
53,00161125,한온시스템,018880,Y,[기재정정]사업보고서 (2021.12),20220816000770,한온시스템,20220816,연,2022
54,00109161,태경케미컬,006890,Y,[기재정정]사업보고서 (2021.12),20220816000755,태경케미컬,20220816,연,2022
55,00154426,아이에이치큐,003560,Y,[기재정정]사업보고서 (2021.12),20220816000701,아이에이치큐,20220816,연,2022
56,00413523,한미글로벌,053690,Y,[기재정정]사업보고서 (2021.12),20220816000695,한미글로벌,20220816,연,2022
57,01497869,티와이홀딩스,363280,Y,[기재정정]사업보고서 (2021.12),20220816000557,티와이홀딩스,20220816,연,2022
58,00167208,흥아해운,003280,Y,[기재정정]사업보고서 (2021.12),20220816000435,흥아해운,20220816,연,2022
59,01234297,미원에스씨,268280,Y,[기재정정]사업보고서 (2021.12),20220816000420,미원에스씨,20220816,연,2022
60,00220561,광주신세계,037710,Y,[기재정정]사업보고서 (2021.12),20220816000334,광주신세계,20220816,,2022
61,00256955,테이팩스,055490,Y,[기재정정]사업보고서 (2021.12),20220816000332,테이팩스,20220816,연,2022
62,00142661,우성,006980,Y,[기재정정]사업보고서 (2021.12),20220816000325,우성,20220816,연,2022
63,00872984,이마트,139480,Y,[기재정정]사업보고서 (2021.12),20220816000177,이마트,20220816,연,2022
64,00480950,이아이디,093230,Y,[기재정정]사업보고서 (2021.12),20220816000144,이아이디,20220816,연,2022
65,00136864,신원,009270,Y,[기재정정]사업보고서 (2021.12),20220816000032,신원,20220816,연,2022
66,01205842,HD현대건설기계,267270,Y,[기재정정]사업보고서 (2021.12),20220816000025,HD현대건설기계,20220816,연,2022
68,00123718,부광약품,003000,Y,[기재정정]사업보고서 (2021.12),20220812001267,부광약품,20220812,연,2022
69,00823429,한국화장품,123690,Y,[기재정정]사업보고서 (2021.12),20220812001253,한국화장품,20220812,연,2022
70,00118026,동원산업,006040,Y,[기재정정]사업보고서 (2021.12),20220812001050,동원산업,20220812,연,2022
71,01032486,두산밥캣,241560,Y,[기재정정]사업보고서 (2021.12),20220812000942,두산밥캣,20220812,연,2022
72,00126414,삼성제약,001360,Y,[기재정정]사업보고서 (2021.12),20220812000933,삼성제약,20220812,,2022
