,corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm,year
1,00104999,윌비스,008600,Y,[기재정정]사업보고서 (2021.12),20221226000298,윌비스,20221226,연,2022
2,00181943,에스제이엠홀딩스,025530,Y,[기재정정]사업보고서 (2021.12),20221223000367,에스제이엠홀딩스,20221223,연,2022
3,00815369,에스제이엠,123700,Y,[기재정정]사업보고서 (2021.12),20221223000261,에스제이엠,20221223,연,2022
6,00160047,한국앤컴퍼니,000240,Y,[기재정정]사업보고서 (2021.12),20221215000241,한국앤컴퍼니,20221215,연,2022
13,00860332,메리츠금융지주,138040,Y,[기재정정]사업보고서 (2021.12),20221130001331,메리츠금융지주,20221130,연,2022
16,00143651,웅진,016880,Y,[기재정정]사업보고서 (2021.12),20221114001388,웅진,20221114,연,2022
17,00173102,모나리자,012690,Y,[기재정정]사업보고서 (2021.12),20221114000745,모나리자,20221114,,2022
18,00155319,POSCO홀딩스,005490,Y,[기재정정]사업보고서 (2021.12),20221114000599,POSCO홀딩스,20221114,연,2022
19,00415628,세진중공업,075580,Y,[기재정정]사업보고서 (2021.12),20221019000356,세진중공업,20221019,연,2022
20,00112332,미래에셋생명,085620,Y,[기재정정]사업보고서 (2021.12),20221017000313,미래에셋생명,20221017,연,2022
21,00141273,웰바이오텍,010600,Y,[기재정정]사업보고서 (2021.12),20221014000470,웰바이오텍,20221014,연,2022
22,00540641,동양고속,084670,Y,[기재정정]사업보고서 (2021.12),20221013000113,동양고속,20221013,연,2022
23,00416654,유엔젤,072130,Y,[기재정정]사업보고서 (2021.12),20221007000390,유엔젤,20221007,연,2022
24,00190321,케이티,030200,Y,[기재정정]사업보고서 (2021.12),20221006000582,케이티,20221006,연,2022
25,00197759,미래산업,025560,Y,[기재정정]사업보고서 (2021.12),20221006000468,미래산업,20221006,연,2022
26,00164788,현대모비스,012330,Y,[기재정정]사업보고서 (2021.12),20221005000463,현대모비스,20221005,연,2022
